id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
908,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH SAKIT BERSALIN,0,UNIT,2024
909,32,JAWA BARAT,3272,KOTA SUKABUMI,PUSKESMAS,15,UNIT,2024
910,32,JAWA BARAT,3272,KOTA SUKABUMI,POSYANDU,461,UNIT,2024
911,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH SAKIT UMUM,27,UNIT,2024
912,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH SAKIT KHUSUS,15,UNIT,2024
913,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH SAKIT BERSALIN,0,UNIT,2024
914,32,JAWA BARAT,3273,KOTA BANDUNG,PUSKESMAS,80,UNIT,2024
915,32,JAWA BARAT,3273,KOTA BANDUNG,POSYANDU,2000,UNIT,2024
916,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH SAKIT UMUM,9,UNIT,2024
917,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH SAKIT KHUSUS,1,UNIT,2024
918,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH SAKIT BERSALIN,0,UNIT,2024
919,32,JAWA BARAT,3274,KOTA CIREBON,PUSKESMAS,22,UNIT,2024
920,32,JAWA BARAT,3274,KOTA CIREBON,POSYANDU,345,UNIT,2024
921,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH SAKIT UMUM,46,UNIT,2024
922,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH SAKIT KHUSUS,2,UNIT,2024
923,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH SAKIT BERSALIN,0,UNIT,2024
924,32,JAWA BARAT,3275,KOTA BEKASI,PUSKESMAS,48,UNIT,2024
925,32,JAWA BARAT,3275,KOTA BEKASI,POSYANDU,1617,UNIT,2024
926,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH SAKIT UMUM,24,UNIT,2024
927,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH SAKIT KHUSUS,4,UNIT,2024
928,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH SAKIT BERSALIN,0,UNIT,2024
929,32,JAWA BARAT,3276,KOTA DEPOK,PUSKESMAS,38,UNIT,2024
930,32,JAWA BARAT,3276,KOTA DEPOK,POSYANDU,1070,UNIT,2024
931,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH SAKIT UMUM,7,UNIT,2024
932,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH SAKIT KHUSUS,1,UNIT,2024
933,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH SAKIT BERSALIN,0,UNIT,2024
934,32,JAWA BARAT,3277,KOTA CIMAHI,PUSKESMAS,13,UNIT,2024
935,32,JAWA BARAT,3277,KOTA CIMAHI,POSYANDU,412,UNIT,2024
936,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH SAKIT UMUM,9,UNIT,2024
937,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH SAKIT KHUSUS,6,UNIT,2024
938,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH SAKIT BERSALIN,0,UNIT,2024
939,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PUSKESMAS,22,UNIT,2024
940,32,JAWA BARAT,3278,KOTA TASIKMALAYA,POSYANDU,914,UNIT,2024
941,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH SAKIT UMUM,4,UNIT,2024
942,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH SAKIT KHUSUS,0,UNIT,2024
943,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH SAKIT BERSALIN,0,UNIT,2024
944,32,JAWA BARAT,3279,KOTA BANJAR,PUSKESMAS,10,UNIT,2024
945,32,JAWA BARAT,3279,KOTA BANJAR,POSYANDU,206,UNIT,2024
